feature,repeat,importance,fold,model
sex,2,-2.8778034702386934e-05,2,Histogram gradient boosting
race,1,0.000148844277913035,2,Histogram gradient boosting
race,2,6.627655551180722e-05,2,Histogram gradient boosting
income_category,1,0.0011786440973345913,2,Histogram gradient boosting
income_category,2,0.0004288749371020584,2,Histogram gradient boosting
diagnosis_group,1,0.010470427090500473,2,Histogram gradient boosting
diagnosis_group,2,0.011371713156622387,2,Histogram gradient boosting
diagnosis_class,1,0.00902663833863973,2,Histogram gradient boosting
diagnosis_class,2,0.005120153933423216,2,Histogram gradient boosting
diabetes,1,-5.550024028369571e-05,2,Histogram gradient boosting
diabetes,2,-3.1280724258397896e-05,2,Histogram gradient boosting
dementia,1,0.00010341273926314787,2,Histogram gradient boosting
dementia,2,-0.0001397294005429095,2,Histogram gradient boosting
cancer_status,1,0.00012769139337395763,2,Histogram gradient boosting
cancer_status,2,-0.00023232639600045957,2,Histogram gradient boosting
age,1,0.005143488875303082,3,Histogram gradient boosting
age,2,0.0028580148127313187,3,Histogram gradient boosting
years_of_education,1,0.000228244271899658,3,Histogram gradient boosting
years_of_education,2,-0.00026005209951307506,3,Histogram gradient boosting
number_of_comorbidities,1,0.0007579486124440482,3,Histogram gradient boosting
number_of_comorbidities,2,0.00026348898488845474,3,Histogram gradient boosting
hospital_day_at_study_entry,1,0.007720061353074792,3,Histogram gradient boosting
hospital_day_at_study_entry,2,0.010213233407630667,3,Histogram gradient boosting
mean_arterial_pressure,1,0.001292510153849541,3,Histogram gradient boosting
mean_arterial_pressure,2,0.0011112868535467224,3,Histogram gradient boosting
white_blood_cell_count,1,-0.00020883885853312245,3,Histogram gradient boosting
white_blood_cell_count,2,-2.038044552421514e-05,3,Histogram gradient boosting
heart_rate,1,0.00235990076379039,3,Histogram gradient boosting
heart_rate,2,0.0012417953410907567,3,Histogram gradient boosting
respiratory_rate,1,-0.001476055914456209,3,Histogram gradient boosting
respiratory_rate,2,-0.0003090636533636948,3,Histogram gradient boosting
temperature,1,0.000438245277414373,3,Histogram gradient boosting
temperature,2,-0.00027817468749316565,3,Histogram gradient boosting
pao2_fio2_ratio,1,0.0009457151048530288,3,Histogram gradient boosting
pao2_fio2_ratio,2,0.000381025394097928,3,Histogram gradient boosting
albumin,1,0.00044537240382580556,3,Histogram gradient boosting
albumin,2,0.0007784756503831647,3,Histogram gradient boosting
bilirubin,1,0.00290376675006071,3,Histogram gradient boosting
bilirubin,2,0.0028506483320706044,3,Histogram gradient boosting
creatinine,1,0.0011684549766081687,3,Histogram gradient boosting
creatinine,2,0.0009307632731372084,3,Histogram gradient boosting
sodium,1,0.0002560311258083814,3,Histogram gradient boosting
sodium,2,0.0003382562884438056,3,Histogram gradient boosting
arterial_ph,1,0.00030990603551359075,3,Histogram gradient boosting
